AFGHANISTAN,68.42%
ALBANIA,41.45%
ALGERIA,44.22%
ANDORRA,12.50%
ANGOLA,58.26%
ANTIGUA AND BARBUDA,15.25%
ARGENTINA,2.07%
ARMENIA,51.65%
AUSTRALIA,19.18%
AUSTRIA,5.21%
AZERBAIJAN,25.43%
THE BAHAMAS,9.33%
BAHRAIN,13.55%
BANGLADESH,39.78%
BARBADOS,6.76%
BELARUS,21.93%
BELGIUM,8.96%
BELIZE,28.63%
BENIN,48.48%
BHUTAN,57.13%
BOLIVIA,24.17%
BOSNIA AND HERZEGOVINA,25.27%
BOTSWANA,17.54%
BRAZIL,18.48%
BRUNEI,4.76%
BULGARIA,9.75%
BURKINA FASO,62.32%
BURMA,30.91%
BURUNDI,73.16%
CABO VERDE,52.66%
CAMBODIA,33.65%
CAMEROON,57.97%
CANADA,43.76%
CENTRAL AFRICAN REPUBLIC,37.45%
CHAD,70.16%
CHILE,15.32%
CHINA,18.22%
COLOMBIA,41.93%
COMOROS,53.02%
REPUBLIC OF CONGO,60.49%
DEMOCRATIC REPUBLIC OF THE CONGO,53.80%
COSTA RICA,18.66%
COTE D`IVOIRE,35.73%
CROATIA,4.02%
CUBA,53.40%
CYPRUS,2.78%
CZECH REPUBLIC,12.41%
DENMARK,14.26%
DJIBOUTI,85.35%
DOMINICA,26.83%
DOMINICAN REPUBLIC,53.21%
ECUADOR,34.05%
EGYPT,31.83%
EL SALVADOR,58.18%
EQUATORIAL GUINEA,27.79%
ERITREA,65.39%
ESTONIA,24.81%
ESWATINI,5.73%
ETHIOPIA,45.46%
FEDERATED STATES OF MICRONESIA,100.00%
FIJI,38.96%
FINLAND,11.00%
FRANCE,13.67%
GABON,45.41%
GAMBIA,72.30%
GEORGIA,63.85%
GERMANY,9.30%
GHANA,55.60%
GREAT BRITAIN AND NORTHERN IRELAND,21.05%
GREECE,14.99%
GRENADA,19.49%
GUATEMALA,58.64%
GUINEA,73.29%
GUINEA BISSAU,65.33%
GUYANA,62.96%
HAITI,60.81%
HONDURAS,61.71%
HONG KONG S.A.R.,3.23%
HUNGARY,8.85%
ICELAND,9.44%
INDIA,27.75%
INDONESIA,12.46%
IRAN,86.58%
IRAQ,49.94%
IRELAND,22.69%
ISRAEL,5.33%
ITALY,15.03%
JAMAICA,56.59%
JAPAN,10.48%
JORDAN,45.26%
KAZAKHSTAN,42.58%
KENYA,49.86%
KIRIBATI,11.69%
NORTH KOREA,100.00%
SOUTH KOREA,7.69%
KOSOVO,36.76%
KUWAIT,3.27%
KYRGYZSTAN,67.75%
LAOS,65.60%
LATVIA,18.98%
LEBANON,23.85%
LESOTHO,28.24%
LIBERIA,73.93%
LIBYA,89.05%
LIECHTENSTEIN,0.00%
LITHUANIA,18.67%
LUXEMBOURG,10.22%
MACAU S.A.R.,5.03%
MADAGASCAR,7.69%
MALAWI,37.05%
MALAYSIA,4.91%
MALDIVES,33.65%
MALI,55.89%
MALTA,17.76%
MARSHALL ISLANDS,30.77%
MAURITANIA,67.79%
MAURITIUS,6.59%
MEXICO,26.66%
MOLDOVA,58.03%
MONACO,22.22%
MONGOLIA,54.60%
MONTENEGRO,39.10%
MOROCCO,28.48%
MOZAMBIQUE,14.24%
NAMIBIA,6.60%
NAURU,20.83%
NEPAL,50.70%
NETHERLANDS,11.82%
NEW ZEALAND,16.32%
NICARAGUA,63.52%
NIGER,42.76%
NIGERIA,67.20%
**NON-NATIONALITY BASED ISSUANCES,43.16%
NORTH MACEDONIA,36.19%
NORWAY,17.35%
OMAN,5.13%
PAKISTAN,48.26%
PALESTINIAN AUTHORITY TRAVEL DOCUMENT,52.92%
PANAMA,18.93%
PAPUA NEW GUINEA,1.74%
PARAGUAY,12.41%
PERU,25.39%
PHILIPPINES,24.40%
POLAND,2.76%
PORTUGAL,6.52%
QATAR,10.33%
REPUBLIC OF PALAU,100.00%
ROMANIA,9.11%
RUSSIA,15.19%
RWANDA,53.76%
SAMOA,27.02%
SAN MARINO,50.00%
SAO TOME AND PRINCIPE,34.78%
SAUDI ARABIA,6.82%
SENEGAL,55.88%
SERBIA,30.33%
SEYCHELLES,10.60%
SIERRA LEONE,57.99%
SINGAPORE,18.07%
SLOVAKIA,11.99%
SLOVENIA,12.33%
SOLOMON ISLANDS,2.20%
SOMALIA,80.77%
SOUTH AFRICA,6.92%
SOUTH SUDAN,52.32%
SPAIN,16.53%
SRI LANKA,35.12%
ST LUCIA,16.75%
ST. KITTS AND NEVIS,21.87%
ST. VINCENT AND THE GRENADINES,14.55%
SUDAN,57.44%
SURINAME,7.44%
SWEDEN,13.32%
SWITZERLAND,7.20%
SYRIA,74.83%
TAIWAN,4.62%
TAJIKISTAN,60.97%
TANZANIA,23.90%
THAILAND,23.41%
TIMOR-LESTE,4.23%
TOGO,59.78%
TONGA,45.85%
TRINIDAD AND TOBAGO,13.05%
TUNISIA,24.17%
TURKEY,19.19%
TURKMENISTAN,56.26%
TUVALU,25.81%
UGANDA,51.65%
UKRAINE,45.06%
UNITED ARAB EMIRATES,5.56%
URUGUAY,5.91%
UZBEKISTAN,68.06%
VANUATU,41.05%
VATICAN CITY,8.33%
VENEZUELA,59.53%
VIETNAM,23.70%
WESTERN SAHARA,0.00%
YEMEN,78.45%
ZAMBIA,40.64%
ZIMBABWE,26.92%